Ref,x1,y1,x2,y2,Angular Connectivity,Axial Line Ref,Connectivity,Segment Length,T1024 Integration R5 step,T1024 Node Count R5 step,T1024 Total Depth R5 step
24,530924.739254,184119.234229,531002.805399,184117.948843,3.0542002,7,5,78.076729,45.488697,86,162.58984
25,531002.805399,184117.948843,531040.97912,184117.3203,1.086924,7,4,38.178894,45.186195,81,145.19922
26,531040.97912,184117.3203,531060.782857,184116.994225,3.8588758,7,4,19.806421,30.510746,61,121.95703
27,530837.552389,183968.504198,530852.420354,184120.424984,2.9553642,8,4,152.64659,30.284658,64,135.25
28,530852.420354,184120.424984,530855.397836,184150.848882,2.5628395,8,4,30.569248,29.633413,59,117.46875
29,530781.008068,183970.056291,530817.267644,183969.060997,1.9056505,9,3,36.273235,23.361479,52,115.74609
30,530817.267644,183969.060997,530837.552389,183968.504198,1.9439689,9,3,20.292385,24.247278,59,143.5625
31,530804.10279,183678.914813,530806.987301,183742.48786,2.9565058,10,4,63.638454,25.145803,40,63.628906
32,530806.987301,183742.48786,530810.256885,183814.547701,2.0050292,10,4,72.13398,27.61607,48,83.429688
33,530810.256885,183814.547701,530813.405101,183883.932657,3.038465,10,5,69.456345,29.882862,61,124.51953
34,530813.405101,183883.932657,530817.267644,183969.060997,4,10,5,85.215919,30.31645,65,139.36328
35,530806.987301,183742.48786,530914.42656,183744.957076,4,11,4,107.46763,22.542488,46,93.867188
36,530912.244928,183665.779416,530912.566958,183677.466796,3.2855186,12,4,11.691815,24.737551,42,71.308594
37,530912.566958,183677.466796,530914.42656,183744.957076,1.7466468,12,4,67.515892,33.803303,52,79.992188
38,530914.42656,183744.957076,530916.388132,183816.148133,1.9949708,12,4,71.218079,42.523815,61,87.503906
39,530916.388132,183816.148133,530918.31369,183886.032144,2.9728639,12,5,69.910538,50.933693,77,116.40625
40,530918.31369,183886.032144,530922.424921,184035.240495,3.021472,12,5,149.26498,54.049263,90,149.86328
41,530922.424921,184035.240495,530924.739254,184119.234229,2.9785283,12,5,84.025612,52.412605,95,172.19141
42,530924.739254,184119.234229,530930.06091,184312.372373,4,12,6,193.21144,48.427723,85,149.19141
43,530930.06091,184312.372373,530931.972172,184381.737517,4,12,5,69.391472,43.189415,67,103.9375
44,530997.74097,184191.579226,531069.101814,184204.96794,1.8460462,13,3,72.605972,30.616331,67,146.62109
45,531069.101814,184204.96794,531176.603948,184225.137479,3.079603,13,5,109.37788,35.304516,63,112.42188
46,531176.603948,184225.137479,531408.976546,184268.735201,4,13,5,236.42712,35.447716,62,108.44141
47,530997.74097,184191.579226,531002.805399,184117.948843,2.9256492,14,3,73.804344,33.256878,80,192.44141
48,531065.907547,184257.768052,531065.977455,184256.612488,3.118978,15,4,1.1576769,16.853399,36,76.898438
49,531065.977455,184256.612488,531069.101814,184204.96794,2.881022,15,4,51.738968,17.444431,42,101.12109
50,531014.260003,184282.658893,531065.907547,184257.768052,0.67563176,16,2,57.332561,17.076036,27,42.691406
51,531065.907547,184257.768052,531067.505019,184256.998171,3.3243682,16,4,1.773312,19.5313,39,77.875
52,531065.977455,184256.612488,531067.505019,184256.998171,3.5566537,17,4,1.5755012,23.171333,43,79.796875
53,531067.505019,184256.998171,531158.779512,184280.043406,2.4433463,17,5,94.138809,30.140505,55,100.36328
54,531158.779512,184280.043406,531391.966563,184338.919115,4,17,5,240.50478,31.632526,54,92.183594
55,531102.93655,184452.060599,531122.455508,184391.934911,2.9502037,18,4,63.214619,35.089542,65,120.40625
56,531122.455508,184391.934911,531139.683702,184338.865635,2.043396,18,4,55.795689,37.506004,67,119.6875
57,531139.683702,184338.865635,531158.779512,184280.043406,3.0064003,18,5,61.844196,42.901909,65,98.480469
58,531158.779512,184280.043406,531176.603948,184225.137479,4,18,6,57.726696,45.771355,64,89.488281
59,531176.603948,184225.137479,531200.805668,184150.587138,4,18,6,78.380333,46.237587,64,88.585938
60,531200.805668,184150.587138,531224.447434,184077.761662,2.3847485,18,5,76.566856,45.66571,64,89.695312
61,531224.447434,184077.761662,531226.686905,184070.863256,3.6152513,18,4,7.2528086,35.341358,63,112.30469
62,531222.022192,184069.648122,531226.686905,184070.863256,3.0376058,19,4,4.8203835,36.84462,68,125.5
63,531226.686905,184070.863256,531282.101437,184085.298468,2.0014875,19,4,57.263824,33.965057,58,99.042969
64,531282.101437,184085.298468,531360.813158,184105.802482,2.0467546,19,4,81.338486,31.691467,49,75.761719
65,531360.813158,184105.802482,531427.917161,184123.282742,2.9141521,19,5,69.343399,32.885025,51,79.09375
66,531427.917161,184123.282742,531443.26017,184127.27952,2.9891434,19,4,15.855036,34.422939,49,69.75
67,531168.490957,183890.561739,531168.634422,183891.041697,4,20,5,0.50094116,32.671696,53,85.976562
68,531168.634422,183891.041697,531177.606206,183921.056404,3.7623262,20,5,31.326914,36.837063,57,88.199219
69,531177.606206,183921.056404,531183.34523,183940.256055,1.3914185,20,4,20.039038,47.689522,72,108.70312
70,531183.34523,183940.256055,531206.527247,184017.810468,1.9921591,20,4,80.945,45.802296,81,143.24609
71,531206.527247,184017.810468,531222.022192,184069.648122,1.5069535,20,4,54.103935,48.999146,86,150.94141
72,531222.022192,184069.648122,531224.447434,184077.761662,3.3471429,20,4,8.468255,42.45332,71,118.74219
73,531103.958023,183944.145791,531183.34523,183940.256055,2,21,2,79.482445,23.823847,56,131.63281
74,531275.708412,184523.127156,531297.510832,184441.573404,2,22,2,84.41777,14.375109,29,58.503906
75,531340.829339,184549.913463,531374.160466,184412.387824,2.0549963,23,3,141.50713,30.822132,39,49.347656
76,531374.160466,184412.387824,531391.966563,184338.919115,2.0359912,23,4,75.595688,33.481884,45,60.480469
77,531391.966563,184338.919115,531408.976546,184268.735201,2.0393751,23,4,72.215797,35.618603,53,78.863281
78,531408.976546,184268.735201,531426.238998,184197.509594,2.9666958,23,5,73.287651,42.148785,58,79.8125
79,531426.238998,184197.509594,531433.414157,184167.904584,4,23,6,30.462101,45.093197,57,72.050781
80,531433.414157,184167.904584,531443.26017,184127.27952,2.9891434,23,4,41.801193,31.987329,47,69.058594
81,531040.97912,184117.3203,531060.553704,184121.39462,3.0975204,24,4,19.99411,42.30891,66,102.95703
82,531060.553704,184121.39462,531140.793407,184138.095983,1.8206327,24,4,81.959412,43.856789,57,74.082031
83,531140.793407,184138.095983,531200.805668,184150.587138,3.081847,24,5,61.298454,41.475388,63,95.695312
84,531200.805668,184150.587138,531426.238998,184197.509594,4,24,6,230.26486,41.611744,61,89.421875
85,531426.238998,184197.509594,531437.346019,184199.821447,3.2086754,24,4,11.345068,36.19199,54,80.570312
86,531379.770132,183732.449503,531382.423865,183753.991164,4,25,5,21.704504,30.697802,44,63.066406
87,531382.423865,183753.991164,531401.51399,183908.955152,4,25,6,156.13542,39.967228,49,60.074219
88,531401.51399,183908.955152,531402.048405,183913.293264,3.1397986,25,5,4.3709054,43.30854,55,69.847656
89,531402.048405,183913.293264,531417.15255,184035.901078,1.8853738,25,4,123.53465,46.327854,60,77.707031
90,531417.15255,184035.901078,531427.917161,184123.282742,2.9748278,25,5,88.042221,45.218586,60,79.613281
91,531427.917161,184123.282742,531433.414157,184167.904584,4,25,6,44.959156,46.760277,58,71.941406
92,531433.414157,184167.904584,531437.346019,184199.821447,3.2086754,25,4,32.158134,30.802105,49,77.949219
93,531375.100124,183572.394391,531387.345888,183728.427727,1.5234891,26,3,156.51314,33.133068,45,61.117188
94,531387.345888,183728.427727,531389.575254,183756.833909,2.5515666,26,4,28.49353,34.117889,47,64.746094
95,531389.575254,183756.833909,531401.51399,183908.955152,2.7092693,26,5,152.589,40.135292,53,69.988281
96,531401.51399,183908.955152,531401.85296,183913.274241,4,26,5,4.3323708,31.029184,58,108.41406
97,531297.758244,183720.335774,531303.086878,183722.453957,3.2741685,27,4,5.734199,30.081535,42,58.640625
98,531303.086878,183722.453957,531357.702997,183744.164384,2.7258315,27,5,58.77298,33.111706,44,58.46875
99,531357.702997,183744.164384,531382.423865,183753.991164,4,27,6,26.602385,38.248493,47,57.753906
100,531382.423865,183753.991164,531389.575254,183756.833909,4,27,5,7.6956849,36.290775,41,46.320312
101,531299.446867,183775.091082,531311.820019,183768.52249,3.3356996,28,4,14.008615,28.188873,48,81.734375
102,531311.820019,183768.52249,531357.702997,183744.164384,2.6643004,28,5,51.947716,32.824703,47,67.296875
103,531357.702997,183744.164384,531379.770132,183732.449503,3.2326641,28,5,24.983932,34.866234,43,53.03125
104,531379.770132,183732.449503,531387.345888,183728.427727,2.7673359,28,4,8.5771065,33.587505,42,52.519531
105,531304.31269,183959.573805,531306.49671,183903.993471,4,29,5,55.623226,33.841053,62,113.58984
106,531306.49671,183903.993471,531311.29242,183781.949157,2.6909027,29,5,122.1385,35.768536,62,107.46875
107,531311.29242,183781.949157,531311.820019,183768.52249,3.3090973,29,4,13.437029,30.243326,54,96.417969
108,531075.434914,183881.504842,531156.88079,183889.431752,2.9276934,30,4,81.830719,29.242687,51,88.945312
109,531156.88079,183889.431752,531168.490957,183890.561739,2.7533221,30,5,11.665026,36.673611,55,82.484375
110,531168.490957,183890.561739,531174.661661,183891.162317,3.2466779,30,5,6.1998625,39.150299,56,80.101562
111,531174.661661,183891.162317,531180.045933,183891.686354,4,30,6,5.4097123,50.016712,67,89.75
112,531180.045933,183891.686354,531246.846002,183898.187827,3.0539846,30,5,67.115707,49.816216,72,104.0625
113,531246.846002,183898.187827,531306.49671,183903.993471,2.9460154,30,5,59.932568,46.642746,67,96.242188
114,531306.49671,183903.993471,531401.85296,183913.274241,3.1116269,30,5,95.806824,42.421577,66,102.68359
115,531401.85296,183913.274241,531402.048405,183913.293264,2.8883731,30,4,0.19636907,39.911846,61,93.230469
116,531056.009523,183972.375108,531073.801917,183889.143858,2.9463861,31,4,85.111755,24.586744,43,75.203125
117,531073.801917,183889.143858,531075.434914,183881.504842,2.9276934,31,4,7.8116097,23.802677,47,92.804688
118,530986.848212,183887.403694,531004.835486,183965.872851,2.7760887,32,3,80.504349,25.034418,58,134.375
119,531004.835486,183965.872851,531056.009523,183972.375108,1.7224751,33,2,51.585476,17.998938,46,117.5625
120,530712.688736,183881.917068,530813.405101,183883.932657,4,34,5,100.73653,37.795715,65,111.78516
121,530813.405101,183883.932657,530918.31369,183886.032144,4,34,6,104.9296,42.613636,75,132
122,530918.31369,183886.032144,530986.848212,183887.403694,2.8438091,34,5,68.548241,45.155617,79,138.21094
123,530986.848212,183887.403694,531029.291446,183888.25309,2.1506054,34,4,42.451733,43.999676,65,96.023438
124,531029.291446,183888.25309,531073.801917,183889.143858,3.0055857,34,5,44.519382,45.757504,55,66.109375
125,531073.801917,183889.143858,531157.130183,183890.811468,3.1265831,34,5,83.344948,43.082817,54,67.683594
126,531157.130183,183890.811468,531168.634422,183891.041697,2.8734171,34,5,11.506542,46.770523,56,67.050781
127,531168.634422,183891.041697,531174.661661,183891.162317,4,34,6,6.0284462,46.43541,61,80.132812
128,531174.661661,183891.162317,531180.080455,183891.270761,4,34,5,5.419879,35.269806,60,102.07031
129,531246.846002,183898.187827,531247.100529,183877.364907,2,35,2,20.824474,25.410933,59,136.98828
130,531380.713483,184038.933676,531417.15255,184035.901078,2.315361,36,3,36.565041,24.902723,50,100.39062
131,531367.863502,184047.323233,531380.713483,184038.933676,0.87075675,37,2,15.346227,18.829536,39,80.777344
132,531360.813158,184105.802482,531367.863502,184047.323233,2.5553956,38,3,58.902714,18.08149,40,88.488281
133,531177.606206,183921.056404,531180.045933,183891.686354,4,39,5,29.471209,45.016289,69,105.76172
134,531180.045933,183891.686354,531180.080455,183891.270761,3.0400231,39,5,0.41702437,46.284649,66,94.113281
135,531180.080455,183891.270761,531191.965639,183748.193874,1.8690072,39,4,143.56969,45.929413,61,81.015625
136,531191.965639,183748.193874,531210.219332,183528.451248,3.0909696,39,5,220.49948,40.515388,59,85.917969
137,531210.219332,183528.451248,531210.6055,183523.802459,3.3558173,39,4,4.6648011,34.176266,55,88.511719
138,531204.529923,183526.934938,531210.219332,183528.451248,4,40,5,5.8880019,38.705296,61,96.136719
139,531210.219332,183528.451248,531294.100666,183550.806851,2.8008873,40,5,86.80928,37.306534,58,90.171875
140,531294.100666,183550.806851,531375.100124,183572.394391,1.9834378,40,3,83.826813,34.131512,50,73.246094
141,530912.566958,183677.466796,530942.320478,183662.126313,3.7738943,41,4,33.475399,29.877771,51,87.054688
142,530942.320478,183662.126313,531101.00503,183580.310867,1.4153167,41,4,178.53447,35.897453,57,90.507812
143,531101.00503,183580.310867,531204.529923,183526.934938,1.2796584,41,4,116.47486,38.452469,59,90.527344
144,531204.529923,183526.934938,531210.6055,183523.802459,2.8869476,41,3,6.8355722,28.869143,50,86.597656
145,531101.00503,183580.310867,531156.88079,183889.431752,3.9999998,42,5,314.13025,34.233765,56,91.605469
146,531156.88079,183889.431752,531157.130183,183890.811468,4,42,5,1.4020742,33.705368,53,83.339844
147,531029.291446,183888.25309,531030.230687,183855.631128,2,43,2,32.635479,21.677378,46,97.613281
148,531191.965639,183748.193874,531247.250971,183744.871861,2.372308,44,4,55.385048,33.656288,51,77.28125
149,531247.250971,183744.871861,531255.303728,183744.387983,3.6276922,44,4,8.0672827,28.217354,47,78.285156
150,531247.250971,183744.871861,531250.811287,183746.933134,2.6622484,45,4,4.1139636,32.239952,52,83.871094
151,531250.811287,183746.933134,531299.446867,183775.091082,1.9825487,45,4,56.198662,32.18449,52,84.015625
152,531299.446867,183775.091082,531311.29242,183781.949157,3.3552032,45,4,13.687597,28.436089,55,106.37891
153,531250.811287,183746.933134,531255.303728,183744.387983,3.7100596,46,4,5.1633153,23.70804,45,85.414062
154,531255.303728,183744.387983,531297.758244,183720.335774,0.85895824,46,4,48.794411,31.298677,45,64.699219
155,531297.758244,183720.335774,531302.825685,183717.464863,3.4309821,46,4,5.8241816,24.183342,39,62.894531
156,531294.100666,183550.806851,531302.825685,183717.464863,2.7051506,47,4,166.88625,27.76757,42,63.527344
157,531302.825685,183717.464863,531303.086878,183722.453957,3.2948494,47,4,4.9959264,25.789156,44,75.070312
158,530707.321114,183575.611283,530723.063265,183688.758214,0.98894149,48,2,114.23679,21.452045,32,47.734375
159,530723.063265,183688.758214,530730.767941,183744.135682,1.182127,48,3,55.910877,27.120062,45,74.667969
160,530723.063265,183688.758214,530804.10279,183678.914813,3.0480838,49,4,81.635147,27.056911,39,56.214844
161,530804.10279,183678.914813,530912.244928,183665.779416,2.0113289,49,4,108.93696,30.06151,42,58.679688
162,530912.244928,183665.779416,530942.320478,183662.126313,2.940587,49,4,30.296598,31.593765,48,72.925781
163,531140.793407,184138.095983,531154.133119,184099.625494,3.1072955,50,3,40.717644,22.16527,50,112.78906
164,531091.400795,184089.16428,531154.133119,184099.625494,1.1072954,51,1,63.598595,11.373097,36,113.95312
165,531060.553704,184121.39462,531060.782857,184116.994225,3.0436037,52,4,4.4063578,26.884806,51,96.746094
166,531060.782857,184116.994225,531065.497338,184026.462826,2.9563963,52,4,90.654068,26.358389,52,102.58594
167,530922.424921,184035.240495,531065.497338,184026.462826,3.0721309,53,4,143.34143,41.848156,93,206.67578
168,531065.497338,184026.462826,531206.527247,184017.810468,2.9278691,53,4,141.29507,40.666756,84,173.50781
169,531282.101437,184085.298468,531294.562642,184021.679734,4,54,4,64.827652,20.180716,47,109.46094
170,531268.479945,184016.651855,531294.562642,184021.679734,1.9948233,55,3,26.562881,13.095673,34,88.273438
171,531294.562642,184021.679734,531317.354673,184026.073282,1.9981046,55,3,23.211634,14.206437,40,112.625
172,531268.479945,184016.651855,531279.573531,183955.446867,1.9839985,56,2,62.202236,13.1497,40,121.67578
173,531279.573531,183955.446867,531304.31269,183959.573805,2.0713086,57,3,25.08102,18.454813,49,130.10156
174,531304.31269,183959.573805,531329.366877,183963.753297,1.9357636,57,3,25.400402,19.065832,45,106.21094
175,531317.354673,184026.073282,531329.366877,183963.753297,2.0160015,58,2,63.467106,13.441407,40,119.03516
176,530810.256885,183814.547701,530916.388132,183816.148133,4,59,4,106.14331,27.005676,58,124.56641
177,531139.683702,184338.865635,531374.160466,184412.387824,4,60,4,245.73332,25.060078,57,129.64844
