Ref,x1,y1,x2,y2,Angular Connectivity,Axial Connectivity,Axial Line Length,Axial Line Ref,Connectivity,Segment Length
57,-7.85137319565,7.60904693604,-3.07365001264,2.92034962364,2,6,14.576868,17,3,6.694066
58,-3.07365001264,2.92034962364,-2.54593891991,2.40247165386,4,6,14.576868,17,6,0.73937583
59,-2.54593891991,2.40247165386,-0.463494617518,0.358830649596,4,6,14.576868,17,6,2.917712
60,-0.463494617518,0.358830649596,0.251966821262,-0.343299213652,4,6,14.576868,17,6,1.0024327
61,0.251966821262,-0.343299213652,1.21492596379,-1.28831502361,4,6,14.576868,17,6,1.3492017
62,1.21492596379,-1.28831502361,2.42458727105,-2.47543606494,4,6,14.576868,17,6,1.694856
63,2.42458727105,-2.47543606494,2.55250406265,-2.60096931458,2,6,14.576868,17,3,0.17922416
64,-2.74636507034,0.533117949963,-2.23181055037,0.233740782131,2,4,6.1678596,18,3,0.5953092
65,-2.23181055037,0.233740782131,-1.73505520933,-0.0552805000322,4,4,6.1678596,18,6,0.57471663
66,-1.73505520933,-0.0552805000322,-0.42394104316,-0.818110541425,4,4,6.1678596,18,6,1.5168817
67,-0.42394104316,-0.818110541425,2.42458727105,-2.47543606494,4,4,6.1678596,18,6,3.2955792
68,2.42458727105,-2.47543606494,2.58481431007,-2.56865906715,2,4,6.1678596,18,3,0.18537322
